region,weather_year,annual_demand_mwh
p30,2013,16803918.0
p31,2007,34540279.0
p31,2008,34508692.0
p31,2009,34486660.0
p31,2010,34517420.0
p31,2011,34584012.0
p31,2012,34418694.0
p31,2013,34596638.0
p32,2007,2785589.0
p32,2008,2805630.0
p32,2009,2796156.0
p32,2010,2789862.0
p32,2011,2795063.0
p32,2012,2758983.0
p32,2013,2808391.0
p33,2007,81480273.0
p33,2008,81296187.0
p33,2009,81123077.0
p33,2010,80864043.0
p33,2011,81290288.0
p33,2012,80246045.0
p33,2013,81760932.0
p34,2007,29749987.0
p34,2008,29682259.0
p34,2009,29618492.0
p34,2010,29523206.0
p34,2011,29679996.0
p34,2012,29295732.0
p34,2013,29853371.0
p35,2007,2395147.0
p35,2008,2428573.0
p35,2009,2435184.0
p35,2010,2417197.0
p35,2011,2430399.0
p35,2012,2386748.0
p35,2013,2420499.0
p36,2007,23402964.0
p36,2008,23496260.0
p36,2009,23497150.0
p36,2010,23381580.0
p36,2011,23411249.0
p36,2012,23244728.0
p36,2013,23533752.0
p37,2007,29058978.0
p37,2008,29101893.0
p37,2009,29102281.0
p37,2010,29049207.0
p37,2011,29062795.0
p37,2012,28986446.0
p37,2013,29119124.0
p38,2007,17689991.0
p38,2008,17805001.0
p38,2009,17750898.0
p38,2010,17715193.0
p38,2011,17745015.0
p38,2012,17537644.0
p38,2013,17821496.0
p39,2007,4463008.0
p39,2008,4479215.0
p39,2009,4467933.0
p39,2010,4468476.0
p39,2011,4468632.0
p39,2012,4440357.0
p39,2013,4477154.0
p4,2007,10537249.0
p4,2008,10563078.0
p4,2009,10563440.0
p4,2010,10501560.0
p4,2011,10558183.0
p4,2012,10525845.0
p4,2013,10540517.0
p40,2007,23643718.0
p40,2008,23721952.0
p40,2009,23666911.0
p40,2010,23669583.0
p40,2011,23670473.0
p40,2012,23533433.0
p40,2013,23712002.0
p41,2007,32829950.0
p41,2008,32921167.0
p41,2009,32856933.0
p41,2010,32860193.0
p41,2011,32861112.0
p41,2012,32701371.0
p41,2013,32909528.0
p42,2007,6290655.0
p42,2008,6351332.0
p42,2009,6316484.0
p42,2010,6269751.0
p42,2011,6288594.0
p42,2012,6202091.0
p42,2013,6363921.0
p43,2007,89843337.0
p43,2008,90756840.0
p43,2009,90232789.0
p43,2010,89528902.0
p43,2011,89813006.0
p43,2012,88510807.0
p43,2013,90945854.0
p44,2007,2757797.0
p44,2008,2786803.0
p44,2009,2770131.0
p44,2010,2747743.0
p44,2011,2756753.0
p44,2012,2715219.0
p44,2013,2792889.0
p45,2007,23627451.0
p45,2008,23767445.0
p45,2009,23635624.0
p45,2010,23648892.0
p45,2011,23605332.0
p45,2012,23413629.0
p45,2013,23737817.0
p46,2007,13790002.0
p46,2008,13963538.0
p46,2009,13873394.0
p46,2010,13708247.0
p46,2011,13809527.0
p46,2012,13585763.0
p46,2013,13984399.0
p47,2007,18381569.0
p47,2008,18357915.0
p47,2009,18341426.0
p47,2010,18364430.0
p47,2011,18414270.0
p47,2012,18290801.0
p47,2013,18423782.0
p48,2007,47812544.0
p48,2008,47812921.0
p48,2009,47832677.0
p48,2010,47922552.0
p48,2011,47994836.0
p48,2012,47755160.0
p48,2013,47878059.0
p49,2007,1087529.0
