substation_id,CBSAFP,POPESTIMATE2019,rb,region,IPM_Region
117636,42740,42339.0,p54,p54,p54
137051,31700,417025.0,p130,p130,p130
114377,40460,44829.0,p98,p98,p98
114382,40460,44829.0,p98,p98,p98
200866,34140,40108.0,p14,p14,p14
118128,36840,25544.0,p53,p53,p53
303226,44700,762148.0,p9,p9,p9
131741,36540,949442.0,p41,p41,p41
131612,36820,22095.0,p70,p70,p70
144558,31860,101927.0,p68,p68,p68
114149,41820,61779.0,p98,p98,p98
130983,32260,39369.0,p70,p70,p70
203741,24300,154210.0,p33,p33,p33
152987,11500,113605.0,p90,p90,p90
114148,41820,61779.0,p98,p98,p98
108714,19660,668365.0,p101,p101,p101
303291,40900,2363730.0,p9,p9,p9
132086,47940,168522.0,p69,p69,p69
201100,34180,97733.0,p4,p4,p4
136469,35980,265206.0,p132,p132,p132
148517,29980,44142.0,p92,p92,p92
137979,16300,273032.0,p70,p70,p70
117161,44180,470300.0,p55,p55,p55
113660,17460,2048449.0,p111,p111,p111
131556,29100,136616.0,p46,p46,p46
147519,48700,113299.0,p122,p122,p122
149952,18980,83768.0,p89,p89,p89
143866,44620,70772.0,p75,p75,p75
120866,44940,140466.0,p96,p96,p96
117118,41140,125223.0,p54,p54,p54
133996,24220,100815.0,p37,p37,p37
152074,28940,869046.0,p92,p92,p92
121224,22500,204911.0,p96,p96,p96
146602,16820,218615.0,p99,p99,p99
149331,31740,130285.0,p53,p53,p53
147187,39580,1390785.0,p98,p98,p98
146123,47620,39191.0,p122,p122,p122
150983,33100,6166488.0,p102,p102,p102
154353,32820,1346045.0,p92,p92,p92
112024,27340,197938.0,p98,p98,p98
117667,28140,2157990.0,p54,p54,p54
131722,25580,31363.0,p40,p40,p40
159748,23660,49699.0,p81,p81,p81
117533,17900,838433.0,p96,p96,p96
117160,44180,470300.0,p55,p55,p55
151751,42340,393353.0,p94,p94,p94
144037,37980,6102434.0,p122,p122,p122
116988,35140,38440.0,p96,p96,p96
200844,42660,3979845.0,p1,p1,p1
117454,41140,125223.0,p54,p54,p54
309378,40900,2363730.0,p9,p9,p9
202676,29660,38880.0,p24,p24,p24
121200,42740,42339.0,p54,p54,p54
202456,43260,30485.0,p22,p22,p22
111534,12060,6020364.0,p94,p94,p94
114295,42460,51626.0,p89,p89,p89
114837,31420,229996.0,p94,p94,p94
122684,31580,44686.0,p108,p108,p108
122328,13500,26118.0,p96,p96,p96
115989,35140,38440.0,p96,p96,p96
124037,36980,119440.0,p108,p108,p108
123633,44300,162385.0,p119,p119,p119
205028,26820,151530.0,p16,p16,p16
132171,26980,173105.0,p70,p70,p70
202501,43940,25844.0,p32,p32,p32
119000,45140,48657.0,p51,p51,p51
300657,19700,23709.0,p31,p31,p31
148109,18900,60520.0,p92,p92,p92
123860,39740,421164.0,p122,p122,p122
116570,12060,6020364.0,p94,p94,p94
117955,48460,40117.0,p84,p84,p84
118146,25700,28553.0,p53,p53,p53
149422,22900,250368.0,p56,p56,p56
121059,17300,307820.0,p92,p92,p92
110143,23460,102268.0,p90,p90,p90
121129,27860,133860.0,p85,p85,p85
107933,25460,45185.0,p56,p56,p56
302331,40900,2363730.0,p9,p9,p9
304349,34900,137744.0,p9,p9,p9
155244,28940,869046.0,p92,p92,p92
157114,31740,130285.0,p53,p53,p53
307837,14420,20938.0,p48,p48,p48
140711,14460,4873019.0,p131,p131,p131
117283,40780,85413.0,p85,p85,p85
153333,34500,37684.0,p81,p81,p81
153153,45700,40644.0,p94,p94,p94
148580,29980,44142.0,p92,p92,p92
122701,14700,55928.0,p55,p55,p55
137655,19780,699292.0,p70,p70,p70
203576,13740,181667.0,p20,p20,p20
111398,41220,54666.0,p94,p94,p94
151255,29180,489207.0,p58,p58,p58
136990,20220,97311.0,p70,p70,p70
150959,33100,6166488.0,p102,p102,p102
304874,44700,762148.0,p9,p9,p9
111397,41220,54666.0,p94,p94,p94
204463,15580,34915.0,p17,p17,p17
309426,44860,37084.0,p63,p63,p63
132114,16300,273032.0,p70,p70,p70
134752,13420,47188.0,p42,p42,p42
