substation_id,msa_id
107905,22220
149356,48620
201104,38900
159737,37900
155520,17140
152586,42340
149988,30780
201052,38900
153929,19430
109085,33660
303516,29420
304013,38060
139286,35620_p127
153665,45780
146326,12580
122388,22220
153876,10420
147326,26900
151647,18140
151979,27260
149444,27140
310051,29820
113602,18140
117307,22220
144066,15380
122603,37900
307342,41740
147836,40060
201297,25840
115179,39580
145556,15380
155519,17140
302890,10740
147474,10900
122396,44180
128238,20100
143527,33460
149384,36420
115367,27740
123419,37980
302392,38060
122879,25180
155326,16620
148215,40060
203795,19740
132612,35620_p126
112615,35380
149221,36420
202089,19740
122190,19340
149640,36420
202112,19740
113019,17140
303308,40140
136325,39300
154283,18140
123611,14100
113511,39580
300626,46060
146120,21500
113479,39580
309096,40140
146368,40060
147559,40060
150827,36740
113662,18140
146767,12580
200995,38900
308877,40140
114308,35380
206384,41620
301747,41700
150257,35380
150001,30780
147972,47260
144065,15380
201004,25840
149034,36420
125223,31140
153280,26900
148549,28940
150856,27260
155027,31140
115177,39580
153604,26900
307710,12420
153310,26900
119379,46140
149703,46140
148214,40060
129144,31140
200724,42660
200366,42660
113996,39580
109667,27140
114587,16740
307661,10740
114515,40060
205981,42660
153191,36740
113595,17140
309611,41860
115178,39580
201276,17820
129148,31140
300863,40900
146390,38300
302299,46060
149468,32820
306120,12420
304964,41700
303768,13140
117455,28140
121285,27260
117943,41180
132374,35620_p126
123096,12580
120491,27260
108012,30780
147032,47260
113593,26580
146325,12580
302846,29420
117190,17900
109287,13820
146208,47900
121601,30780
121600,30780
307475,13140
149445,32820
201524,19740
149377,28140
160639,45300
308851,26420
134710,33340
148138,34980
161307,12580
136539,25540
302007,29820
149159,32820
146294,12580
129084,39100
108016,30780
304572,41740
136322,39300
115381,32820
114527,47260
137058,14460
155300,13820
302108,41860
203974,19740
136475,25540
300076,38060
117124,17900
117645,28140
149376,28140
122483,36740
201569,36260
203734,19740
149324,41180
128514,19820
153461,13820
122979,47900
148130,34980
148157,34980
120939,17900
109061,33660
151434,24860
143526,33460
305879,12420
306692,38060
117075,28140
307293,26420
122896,47900
304317,29420
148166,34980
149094,28140
154536,45300
113152,17460
120940,17900
147921,47260
133640,14460
112530,35380
146389,38300
151628,45300
143535,33460
134764,35620_p128
147878,40060
112123,13820
117709,41180
148173,34980
128336,19820
149343,41180
143552,33460
301942,19100
143992,19820
301273,41860
300765,38060
146517,37980
143613,35620_p126
130306,33460
150627,16740
150416,16740
302249,26420
140991,35620_p127
305000,38060
158824,33460
305611,38060
114843,47260
134777,35620_p128
123680,38300
148129,34980
300883,19100
147281,34980
136939,14460
308529,31080
122014,16980
310199,31080
134646,16980
307011,19100
152724,16740
148484,17460
143949,37980
154487,17460
147282,34980
132929,14460
121976,16980
147495,37980
161009,12060
117765,41180
132943,35620_p126
309736,19100
134652,16980
200801,42660
108537,33100
110777,12060
115626,12060
150617,38300
133851,12060
150670,33100
117940,41180
146146,17460
300009,38060
132619,35620_p126
123437,37980
306159,19100
116109,12060
133860,16740
146541,37980
153373,16980
116001,12060
310361,19100
150163,12060
308515,19100
129920,35620_p127
110335,12060
132302,35620_p126
110339,12060
134701,16980
133843,12060
134713,16980
150561,33100
